id,full_name,p_b,job,country,state,city,series,no_of_units,marketing,warranty
1,Chancey Westgarth,Personal,Chef,Canada,Ontario,Windsor,Inspiron,1,Tech Blogs,24
2,Man McPake,Personal,Student,Canada,Ontario,Timmins,Dell Security,1,Tech Blogs,36
3,Aviva Skrzynski,Personal,Student,Canada,Ontario,Milton,Dell Storage,2,Tech Blogs,6
4,Hanan Jori,Business,Software Engineer,Canada,Ontario,Brampton,Alienware,79,Social Networks,12
5,Barrie Freckleton,Business,Software Engineer,Canada,Ontario,Belleville,XPS,90,Tech Blogs,12
6,Cornall Marusyak,Business,Software Engineer,Canada,Ontario,Dorchester,Dell Storage,30,Tech Blogs,24
7,Sibelle Derl,Business,Game developer,United States,California,Sacramento,Dell Storage,30,Tech Blogs,12
8,Minor O'Scandall,Personal,Chef,United States,California,Van Nuys,Dell Storage,1,Tech Blogs,6
9,Giff Stollenberg,Personal,Chef,United States,California,San Jose,Dell Security,1,Tech Blogs,24
10,Crichton Dillingstone,Business,Software Engineer,Canada,Ontario,Toronto,XPS,24,Tech Blogs,36
11,Shelbi Cosser,Business,Software Engineer,India,Andhra Pradesh,Agraharam,Dell Storage,92,Social Networks,36
12,Morissa Keilty,Business,Game developer,United States,California,Fullerton,Inspiron,24,Tech Blogs,24
13,Karoly Bog,Personal,Software Engineer,Canada,Ontario,Woodstock,Chromebook,2,Tech Blogs,12
14,Barclay Franzke,Business,Game developer,United States,California,Santa Monica,Inspiron,79,Tech Blogs,6
15,Teri Cortese,Personal,Chef,Canada,Ontario,Markham,Dell Storage,1,Tech Blogs,24
16,Eli Dymock,Business,Software Engineer,Canada,Ontario,Port Colborne,Chromebook,87,Tech Blogs,12
17,Roselin Dowzell,Personal,Game developer,United States,California,Sacramento,Dell Storage,2,Tech Blogs,12
18,Arlee Lindenblatt,Personal,Software Engineer,United States,California,Fresno,Inspiron,1,Tech Blogs,12
19,Ariella Gilpillan,Personal,Chef,United States,California,Newport Beach,Inspiron,2,Tech Blogs,36
20,Bancroft O'Cannavan,Business,Software Engineer,United States,California,Santa Ana,Chromebook,62,Tech Blogs,6
21,Aila Kelle,Personal,Game developer,United States,California,Richmond,Alienware,2,Tech Blogs,6
22,Averill Caccavari,Business,Game developer,United States,California,Bakersfield,Chromebook,37,Tech Blogs,6
23,Maisie Antuoni,Personal,Game developer,Canada,Ontario,Innisfil,XPS,2,Tech Blogs,36
24,Berti Golling,Business,Software Engineer,United States,California,Whittier,Dell Storage,79,Tech Blogs,36
25,Salem Petrie,Personal,Software Engineer,Canada,Ontario,Concord,Dell Storage,1,Tech Blogs,6
26,Tarrance Peasgood,Personal,Software Engineer,United States,California,San Diego,Inspiron,1,Tech Blogs,12
27,Bili Alesbrook,Personal,Software Engineer,United States,California,San Jose,XPS,1,Tech Blogs,12
28,Beryle Dalli,Personal,Software Engineer,Canada,Ontario,Amherstburg,XPS,2,Tech Blogs,36
29,Griffie Trinder,Business,Software Engineer,United States,California,Fresno,Chromebook,38,Tech Blogs,36
30,Christine Kerwood,Business,Software Engineer,United States,California,Sacramento,Chromebook,96,Tech Blogs,24
31,Jeth Kornalik,Personal,Chef,United States,California,Oakland,Dell Security,1,Tech Blogs,24
32,Junie Bendelow,Business,Software Engineer,Canada,Ontario,Picton,Dell Storage,77,Tech Blogs,36
33,Finn Peart,Business,Software Engineer,United States,California,Sacramento,Inspiron,33,Tech Blogs,36
34,Timothy Burhill,Business,Software Engineer,Canada,Ontario,Picton,Dell Security,54,Tech Blogs,6
35,Davida Pollington,Business,Game developer,United States,California,Los Angeles,Alienware,53,Tech Blogs,24
36,Doreen Burbridge,Personal,Game developer,United States,California,Fullerton,Alienware,1,Tech Blogs,6
37,Averyl Garrand,Business,Software Engineer,United States,California,Bakersfield,Dell Storage,67,Tech Blogs,12
38,Nanni Pestell,Business,Software Engineer,Canada,Ontario,Markham,Dell Storage,76,Tech Blogs,24
39,Hadlee Killough,Personal,Chef,Canada,Ontario,Atikokan,Dell Security,2,Tech Blogs,6
40,Joanna Gracewood,Business,Game developer,Canada,Ontario,Kapuskasing,Inspiron,62,Tech Blogs,6
41,Claribel Preskett,Personal,Game developer,Canada,Ontario,Arnprior,Inspiron,2,Tech Blogs,12
42,Pierrette Bricknall,Personal,Student,Canada,Ontario,Norfolk County,Dell Security,2,Tech Blogs,24
43,Salvidor Hodgin,Personal,Software Engineer,United States,California,Pasadena,Inspiron,2,Tech Blogs,6
44,Leoline Cumbridge,Personal,Software Engineer,Canada,Ontario,Petawawa,Inspiron,2,Tech Blogs,6
45,Florenza Banaszkiewicz,Business,Game developer,United States,California,Los Angeles,Dell Storage,98,Tech Blogs,12
46,Bevon Elliman,Business,Game developer,United States,California,Los Angeles,Dell Security,66,Tech Blogs,24
47,Moore Cowe,Business,Software Engineer,United States,California,Simi Valley,Inspiron,93,Tech Blogs,24
48,Jerrylee Swainson,Personal,Game developer,United States,California,Sacramento,Inspiron,1,Tech Blogs,24
49,Farley Hender,Business,Game developer,Canada,Ontario,Deep River,Chromebook,66,Tech Blogs,36
50,Giana Hook,Business,Software Engineer,United States,California,Los Angeles,Dell Storage,31,Tech Blogs,12
51,Clim Beeckx,Business,Game developer,Canada,Ontario,Gananoque,Dell Security,75,Tech Blogs,36
52,Wilhelmine Filgate,Personal,Chef,United States,California,Oakland,Dell Storage,2,Tech Blogs,24
53,Gwen Jochen,Personal,Software Engineer,Canada,Ontario,Prince Edward,Dell Security,2,Tech Blogs,12
54,King Grafom,Personal,Software Engineer,United States,California,Sacramento,Chromebook,1,Tech Blogs,6
55,Charo Danilishin,Personal,Student,United States,California,Long Beach,Dell Storage,2,Tech Blogs,6
56,Findlay Kovelmann,Business,Game developer,Canada,Ontario,Gananoque,XPS,43,Tech Blogs,6
