id,full_name,p_b,job,country,state,city,series,no_of_units,marketing,warranty
1,Iseabal Grewer,Business,Chef,United States,California,Simi Valley,Chromebook,49,Offline,36
2,Keven Boundey,Personal,Game developer,United States,California,Oakland,Alienware,2,Recommendation,24
3,Kaine Dottridge,Personal,Chef,United States,California,Palmdale,Chromebook,1,Tech Blogs,36
4,Didi Neggrini,Personal,Chef,United States,California,Van Nuys,Chromebook,1,Recommendation,24
5,Shirlene Stoke,Personal,Game developer,Canada,Ontario,Ottawa,Alienware,1,Offline,6
6,Will Kornyshev,Business,Software Engineer,Canada,Ontario,Concord,Servers,83,Recommendation,12
7,Jeannette Rayworth,Business,Software Engineer,United States,California,San Jose,Servers,25,Offline,36
8,Marcus Costi,Personal,Software Engineer,United States,California,Santa Cruz,Alienware,1,Tech Blogs,6
9,Binnie Klais,Business,Software Engineer,United States,California,San Jose,XPS,43,Tech Blogs,12
10,Tarrah Bransden,Personal,Chef,Canada,Ontario,South River,Inspiron,1,Social Networks,12
11,Cammie Geale,Personal,Software Engineer,United States,California,San Diego,Alienware,2,Social Networks,6
12,Kattie Lehrmann,Business,Software Engineer,United States,California,San Diego,Servers,75,Social Networks,24
13,Arlan Tellenbach,Personal,Game developer,Canada,Ontario,Kingston,XPS,1,Social Networks,36
14,Wilhelm Ebbage,Personal,Game developer,Canada,Ontario,St. Catharines,Alienware,1,Tech Blogs,6
15,Dino Caldecourt,Business,Chef,United States,California,Anaheim,Chromebook,73,Tech Blogs,36
16,Matthias Bartzen,Business,Student,United States,California,Sacramento,Inspiron,51,Social Networks,24
17,Celia MacMoyer,Business,Game developer,Canada,Ontario,Atikokan,Alienware,66,Social Networks,6
18,Horatia Mence,Personal,Game developer,Canada,Ontario,Keswick,Alienware,1,Social Networks,12
19,Lianne Obee,Personal,Software Engineer,Canada,Ontario,Innisfil,XPS,2,Social Networks,24
20,Cathrin Curd,Personal,Game developer,United States,California,San Diego,Alienware,2,Social Networks,12
21,Traver Fellini,Personal,Software Engineer,United States,California,San Diego,XPS,2,Offline,6
22,Filmer McPharlain,Personal,Student,United States,California,San Francisco,Inspiron,1,Recommendation,24
23,Duff Tootal,Business,Student,United States,California,Lancaster,Inspiron,96,Social Networks,12
24,Wylma Witnall,Personal,Chef,Canada,Ontario,Neebing,Inspiron,2,Recommendation,12
