id,full_name,p_b,job,country,state,city,marketing,series,no_of_units,warranty
1,Alex Ghiraldi,Personal,Chef,Canada,Ontario,Toronto,Offline,XPS,2,6
2,Mariette Bazoche,Personal,Software Engineer,Canada,Ontario,Oakville,Tech Blogs,XPS,2,12
3,Stella Beaulieu,Business,Software Engineer,United States,California,Fresno,Social Networks,Servers,62,24
4,Farlay Garnsworthy,Business,Student,United States,California,San Rafael,Tech Blogs,Servers,44,6
5,Mose Silbersak,Personal,Student,Canada,Ontario,Waterloo,Recommendation,XPS,1,24
6,Mahala Straine,Personal,Student,United States,California,San Diego,Social Networks,Servers,1,12
7,Ulla Grint,Personal,Software Engineer,Canada,Ontario,Belleville,Recommendation,XPS,2,36
8,Cobb Wethers,Business,Student,United States,California,San Diego,Tech Blogs,Servers,67,6
9,Pietro Molyneux,Personal,Chef,Canada,Ontario,Marathon,Tech Blogs,XPS,1,6
10,Cindie Creasey,Personal,Student,Canada,Ontario,Vaughan,Recommendation,Alienware,2,24
11,Hirsch Herculson,Personal,Software Engineer,United States,California,Glendale,Social Networks,Alienware,2,36
12,Denny Vasser,Personal,Student,United States,California,Fresno,Recommendation,Servers,1,36
13,Ambrosi Thurstan,Business,Software Engineer,United States,California,Los Angeles,Tech Blogs,Servers,64,24
14,Katalin Cunliffe,Business,Student,Canada,Ontario,North York,Tech Blogs,XPS,67,6
15,Shari Malamore,Business,Chef,Canada,Ontario,Little Current,Offline,XPS,80,36
16,Chiarra Dureden,Business,Student,United States,California,Oceanside,Social Networks,Servers,56,12
17,Bank Eustace,Personal,Software Engineer,Canada,Ontario,Ajax,Recommendation,XPS,1,12
18,Griffith Rickards,Personal,Chef,United States,California,Santa Cruz,Recommendation,XPS,2,12
19,Marcie Rohloff,Personal,Software Engineer,United States,California,Sacramento,Tech Blogs,Servers,2,6
20,Lorianna Posselow,Business,Software Engineer,Canada,Ontario,Markham,Offline,XPS,45,12
21,Christean Franks,Business,Software Engineer,United States,California,Fresno,Tech Blogs,Servers,43,24
22,Mohammed Tench,Business,Chef,United States,California,Pasadena,Recommendation,Servers,57,12
23,Melodee Drews,Personal,Student,Canada,Ontario,Prince Edward,Tech Blogs,XPS,2,6
24,Alayne Campbell,Personal,Game developer,Canada,Ontario,Lambton Shores,Tech Blogs,XPS,1,24
25,Dionysus Biddy,Business,Student,United States,California,Richmond,Social Networks,Servers,31,6
26,Amara Midson,Personal,Game developer,Canada,Ontario,Omemee,Recommendation,XPS,1,12
27,Kerianne Swindell,Personal,Software Engineer,United States,California,Whittier,Offline,Alienware,1,36
28,Erminie Stickells,Business,Software Engineer,Canada,Ontario,Hearst,Tech Blogs,XPS,69,6
29,Gideon Ingledew,Business,Software Engineer,United States,California,Sacramento,Recommendation,Servers,78,36
30,Emyle Mattes,Personal,Chef,United States,California,San Diego,Tech Blogs,Servers,1,12
31,Constantine Nulty,Personal,Software Engineer,United States,California,Fresno,Recommendation,Servers,1,24
32,Rianon Learoyde,Business,Student,United States,California,Santa Ana,Offline,Servers,50,24
33,Gwen Ismail,Personal,Chef,United States,California,Oakland,Offline,Servers,2,12
34,Reese Kelf,Personal,Software Engineer,United States,California,San Jose,Offline,Servers,2,12
35,Johnathon Readie,Business,Student,United States,California,Pasadena,Social Networks,Servers,46,6
36,Garvey Summerscales,Personal,Software Engineer,Canada,Ontario,Midland,Social Networks,XPS,1,24
37,Angelica Twinn,Business,Chef,United States,California,Garden Grove,Tech Blogs,Servers,51,24
38,Maighdiln Stetlye,Personal,Student,Canada,Ontario,Collingwood,Tech Blogs,XPS,2,6
39,Annora Flewan,Personal,Software Engineer,United States,California,Sacramento,Tech Blogs,Servers,2,12
40,Maegan Lavrinov,Business,Student,United States,California,Sacramento,Social Networks,Servers,61,24
41,Vivianna Pothbury,Business,Software Engineer,Canada,Ontario,Camlachie,Offline,XPS,58,36
42,Ardenia Jurn,Personal,Student,Canada,Ontario,Orangeville,Tech Blogs,XPS,2,36
43,Marilin Berkely,Personal,Software Engineer,United States,California,San Diego,Offline,Servers,2,36
44,Jessamine Hayball,Personal,Student,United States,California,Sacramento,Recommendation,Servers,2,12
45,Natalee Gever,Business,Chef,United States,California,Richmond,Tech Blogs,Servers,54,24
46,Hal Smardon,Personal,Student,United States,California,Los Angeles,Tech Blogs,Servers,1,24
47,Alexio Betjeman,Business,Student,United States,California,San Diego,Offline,Servers,72,36
48,Janet Waycott,Personal,Chef,Canada,Ontario,North Perth,Recommendation,XPS,2,12
49,Euphemia Askham,Personal,Software Engineer,Canada,Ontario,Omemee,Tech Blogs,XPS,2,12
50,Aggi Orgel,Business,Game developer,United States,California,Los Angeles,Offline,Servers,40,6
51,Stacee Teligin,Personal,Student,Canada,Ontario,Willowdale,Tech Blogs,XPS,1,24
52,Beatrix Kernar,Personal,Chef,Canada,Ontario,Windsor,Offline,XPS,2,24
53,Clementia Walkowski,Personal,Chef,Canada,Ontario,Port Colborne,Recommendation,XPS,2,6
54,Ara Havercroft,Business,Chef,United States,California,Whittier,Tech Blogs,Servers,26,36
55,Jerrie Kearey,Business,Student,United States,California,Stockton,Social Networks,Servers,28,12
56,Natka Pinkney,Business,Game developer,Canada,Ontario,Port Colborne,Tech Blogs,XPS,39,12
57,Fiona Petri,Personal,Game developer,Canada,Ontario,Waterloo,Social Networks,XPS,1,12
58,Leena Clink,Business,Chef,Canada,Ontario,Atikokan,Offline,XPS,97,36
59,Darelle MacElholm,Personal,Student,United States,California,Los Angeles,Recommendation,Servers,2,12
60,Hayley Ruck,Personal,Chef,Canada,Ontario,Midland,Recommendation,XPS,2,6
61,Christiana Foister,Personal,Chef,United States,California,Santa Rosa,Tech Blogs,Alienware,2,6
